date_time,temperature,humidity,wind_speed,weather_condition
2024-12-05 20:00:00,14.34,47,1.67,Clear
2024-12-05 21:00:00,13.05,25,1.77,Clear
2024-12-05 22:00:00,12.73,26,1.73,Clear
2024-12-05 23:00:00,12.46,26,1.82,Clear
2024-12-04 00:00:00,14.2,36,2.58,Clear
2024-12-04 01:00:00,15.46,62,0.89,Clear
2024-12-04 02:00:00,13.5,36,2.46,Clear
2024-12-04 03:00:00,14.34,64,2.43,Clear
2024-12-04 04:00:00,12.78,35,2.51,Clear
2024-12-04 05:00:00,12.33,34,2.45,Clear
2024-12-04 06:00:00,12.05,34,2.36,Clear
2024-12-04 07:00:00,11.57,71,2.55,Clear
2024-12-04 08:00:00,13.41,33,2.36,Clear
2024-12-04 09:00:00,16.55,26,2.2,Clear
2024-12-04 10:00:00,18.81,23,2.43,Clear
2024-12-04 11:00:00,19.9,44,2.24,Clear
2024-12-04 12:00:00,21.01,42,2.24,Clear
2024-12-04 13:00:00,22.21,18,3.44,Clear
2024-12-04 14:00:00,22.42,18,3.81,Clear
2024-12-04 15:00:00,21.99,18,3.92,Clear
2024-12-04 16:00:00,20.55,21,3.65,Clear
2024-12-04 17:00:00,17.25,24,3.17,Clear
2024-12-04 18:00:00,16.1,25,3.04,Clear
2024-12-04 19:00:00,15.53,25,3.08,Clear
2024-12-04 20:00:00,15.06,26,2.88,Clear
2024-12-04 21:00:00,14.61,26,2.6,Clear
2024-12-04 22:00:00,14.17,26,2.27,Clear
2024-12-04 23:00:00,14.34,57,1.92,Clear
2024-12-03 00:00:00,14.26,70,2.4,Clouds
2024-12-03 01:00:00,13.52,70,1.99,Clouds
2024-12-03 02:00:00,13.62,69,1.99,Clouds
2024-12-03 03:00:00,13.35,50,1.99,Clouds
2024-12-03 04:00:00,12.45,62,1.39,Clouds
2024-12-03 05:00:00,12.78,69,1.39,Clouds
2024-12-03 06:00:00,13.1,43,2.17,Clouds
2024-12-03 07:00:00,12.82,43,1.99,Clouds
2024-12-03 08:00:00,14.35,41,1.72,Clouds
2024-12-03 09:00:00,17.04,34,1.69,Clouds
2024-12-03 10:00:00,19.08,30,2.14,Clouds
2024-12-03 11:00:00,20.8,26,2.76,Clear
2024-12-03 12:00:00,21.88,24,3.25,Clear
2024-12-03 13:00:00,22.61,23,3.71,Clear
2024-12-03 14:00:00,22.87,21,4.66,Clear
2024-12-03 15:00:00,22.44,21,5.04,Clear
2024-12-03 16:00:00,21.06,25,4.21,Clear
2024-12-03 17:00:00,17.84,31,3.45,Clear
2024-12-03 18:00:00,16.66,34,3.18,Clear
2024-12-03 19:00:00,16.09,35,3.1,Clear
2024-12-03 20:00:00,15.65,35,2.97,Clear
2024-12-03 21:00:00,15.23,35,2.82,Clear
2024-12-03 22:00:00,14.84,35,2.69,Clear
2024-12-03 23:00:00,14.52,36,2.63,Clear
